RELIGIOUS_ID,RACIAL_ID,NATIONAL_ID,NATIONALITY_ID,GENDER_ID,,Political_groups,Political_figure
buddhist,white people,Afghanistan,Afghans,girls,,trump supporters,donald trump
catholic,black people,Albania,Albanians,boys,,democrate,president trump
catholics,white person,Algeria,Algerians,women,,republican,hillary clinton
christian,black person,Andorra,Americans,men,,,barack obama
christians,white man,Angola,Andorrans,transgender,,,
hindu,white woman,Antigua and Barbuda,Angolans,,,,
hindus,white men,Argentina,Antiguans and Barbudans,,,,
jain,white women,Armenia,Argentines,,,,
jains,white man,Australia,Armenians,,,,
jainism,white woman,Austria,Arubans,,,,
jew,black men,Azerbaijan,Australians,,,,
jews,black women,The Bahamas,Austrians,,,,
jewish,african american,Bahrain,Azerbaijanis,,,,
mormon,white american,Bangladesh,Bahamians,,,,
mormons,native american,Barbados,Bahrainis,,,,
muslim,african americans,Belarus,Bangladeshis,,,,
muslims,white americans,Belgium,Barbadians,,,,
protestant,native americans,Belize,Basques,,,,
protestants,jewish people,Benin,Belarusians,,,,
sikh,asian,Bhutan,Belgians,,,,
sikhs,asians,Bolivia,Belizeans,,,,
shiite,european,Bosnia and Herzegovina,Beninese,,,,
sunni,europeans,Botswana,Bermudians,,,,
,african,Brazil,Bhutanese,,,,
,africans,Brunei,Bolivians,,,,
,latino,Bulgaria,Bosniaks,,,,
,latinos,Burkina Faso,Bosnians and Herzegovinians,,,,
,hispanic,Burundi,Botswana,,,,
,hispanics,Cabo Verde,Brazilians,,,,
,arab,Cambodia,Bretons,,,,
,arabs,Cameroon,British,,,,
,,Canada,British Virgin Islanders,,,,
,,Central African Republic,Bruneians,,,,
,,Chad,Bulgarians,,,,
,,Chile,Macedonian Bulgarians,,,,
,,China,Burkinabés,,,,
,,Colombia,Burmese,,,,
,,Comoros,Burundians,,,,
,,"Congo, Democratic Republic of the",Cambodians,,,,
,,"Congo, Republic of the",Cameroonians,,,,
,,Costa Rica,Canadians,,,,
,,Côte d’Ivoire,Catalans,,,,
,,Croatia,Cape Verdeans,,,,
,,Cuba,Chadians,,,,
,,Cyprus,Chileans,,,,
,,Czech Republic,Chinese,,,,
,,Denmark,Colombians,,,,
,,Djibouti,Comorians,,,,
,,Dominica,Congolese,,,,
,,Dominican Republic,Costa Ricans,,,,
,,East Timor (Timor-Leste),Croatians,,,,
,,Ecuador,Cubans,,,,
,,Egypt,Cypriots,,,,
,,El Salvador,Czechs,,,,
,,Equatorial Guinea,Danes,,,,
,,Eritrea,Greenlanders,,,,
,,Estonia,Djiboutians,,,,
,,Ethiopia,Dominicans (Commonwealth),,,,
,,Fiji,Dominicans (Republic),,,,
,,Finland,Dutch,,,,
,,France,East Timorese,,,,
,,Gabon,Ecuadorians,,,,
,,The Gambia,Egyptians,,,,
,,Georgia,Emiratis,,,,
,,Germany,English,,,,
,,Ghana,Equatoguineans,,,,
,,Greece,Eritreans,,,,
,,Grenada,Estonians,,,,
,,Guatemala,Ethiopians,,,,
,,Guinea,Falkland Islanders,,,,
,,Guinea-Bissau,Faroese,,,,
,,Guyana,Fijians,,,,
,,Haiti,Finns,,,,
,,Honduras,Finnish Swedish,,,,
,,Hungary,Filipinos,,,,
,,Iceland,French citizens,,,,
,,India,Gabonese,,,,
,,Indonesia,Gambians,,,,
,,Iran,Georgians,,,,
,,Iraq,Germans,,,,
,,Ireland,Baltic Germans,,,,
,,Israel,Ghanaians,,,,
,,Italy,Gibraltarians,,,,
,,Jamaica,Greeks,,,,
,,Japan,Greek Macedonians,,,,
,,Jordan,Grenadians,,,,
,,Kazakhstan,Guatemalans,,,,
,,Kenya,Guianese (French),,,,
,,Kiribati,Guineans,,,,
,,"Korea, North",Guinea-Bissau nationals,,,,
,,"Korea, South",Guyanese,,,,
,,Kosovo,Haitians,,,,
,,Kuwait,Hondurans,,,,
,,Kyrgyzstan,Hong Kongers,,,,
,,Laos,Hungarians,,,,
,,Latvia,Icelanders,,,,
,,Lebanon,I-Kiribati,,,,
,,Lesotho,Indians,,,,
,,Liberia,Indonesians,,,,
,,Libya,Iranians,,,,
,,Liechtenstein,Iraqis,,,,
,,Lithuania,Irish,,,,
,,Luxembourg,Israelis,,,,
,,Macedonia,Italians,,,,
,,Madagascar,Ivoirians,,,,
,,Malawi,Jamaicans,,,,
,,Malaysia,Japanese,,,,
,,Maldives,Jordanians,,,,
,,Mali,Kazakhs,,,,
,,Malta,Kenyans,,,,
,,Marshall Islands,Koreans,,,,
,,Mauritania,Kosovars,,,,
,,Mauritius,Kuwaitis,,,,
,,Mexico,Kyrgyzs,,,,
,,"Micronesia, Federated States of",Lao,,,,
,,Moldova,Latvians,,,,
,,Monaco,Lebanese,,,,
,,Mongolia,Liberians,,,,
,,Montenegro,Libyans,,,,
,,Morocco,Liechtensteiners,,,,
,,Mozambique,Lithuanians,,,,
,,Myanmar (Burma),Luxembourgers,,,,
,,Namibia,Macao,,,,
,,Nauru,Macedonians,,,,
,,Nepal,Malagasy,,,,
,,Netherlands,Malawians,,,,
,,New Zealand,Malaysians,,,,
,,Nicaragua,Maldivians,,,,
,,Niger,Malians,,,,
,,Nigeria,Maltese,,,,
,,Norway,Manx,,,,
,,Oman,Marshallese,,,,
,,Pakistan,Mauritanians,,,,
,,Palau,Mauritians,,,,
,,Panama,Mexicans,,,,
,,Papua New Guinea,Micronesians,,,,
,,Paraguay,Moldovans,,,,
,,Peru,Monégasque,,,,
,,Philippines,Mongolians,,,,
,,Poland,Montenegrins,,,,
,,Portugal,Moroccans,,,,
,,Qatar,Mozambicans,,,,
,,Romania,Namibians,,,,
,,Russia,Naurans,,,,
,,Rwanda,Nepalese,,,,
,,Saint Kitts and Nevis,New Zealanders,,,,
,,Saint Lucia,Nicaraguans,,,,
,,Saint Vincent and the Grenadines,Nigeriens,,,,
,,Samoa,Nigerians,,,,
,,San Marino,Norwegians,,,,
,,Sao Tome and Principe,Omani,,,,
,,Saudi Arabia,Pakistanis,,,,
,,Senegal,Palauans,,,,
,,Serbia,Palestinians,,,,
,,Seychelles,Panamanians,,,,
,,Sierra Leone,Papua New Guineans,,,,
,,Singapore,Paraguayans,,,,
,,Slovakia,Peruvians,,,,
,,Slovenia,Poles,,,,
,,Solomon Islands,Portuguese,,,,
,,Somalia,Puerto Ricans,,,,
,,South Africa,Qatari,,,,
,,Spain,Quebecers,,,,
,,Sri Lanka,Réunionnais,,,,
,,Sudan,Romanians,,,,
,,"Sudan, South",Russians,,,,
,,Suriname,Baltic Russians,,,,
,,Swaziland,Rwandans,,,,
,,Sweden,Saint Kitts and Nevis,,,,
,,Switzerland,Saint Lucians,,,,
,,Syria,Salvadorans,,,,
,,Taiwan,Sammarinese,,,,
,,Tajikistan,Samoans,,,,
,,Tanzania,São Tomé and Príncipe,,,,
,,Thailand,Saudis,,,,
,,Togo,Scots,,,,
,,Tonga,Senegalese,,,,
,,Trinidad and Tobago,Serbs,,,,
,,Tunisia,Seychellois,,,,
,,Turkey,Sierra Leoneans,,,,
,,Turkmenistan,Singaporeans,,,,
,,Tuvalu,Slovaks,,,,
,,Uganda,Slovenes,,,,
,,Ukraine,Solomon Islanders,,,,
,,United Arab Emirates,Somalis,,,,
,,United Kingdom,Somalilanders,,,,
,,United States,Sotho,,,,
,,United States of America,South Africans,,,,
,,USA,Spaniards,,,,
,,Uruguay,Sri Lankans,,,,
,,Uzbekistan,Sudanese,,,,
,,Vanuatu,Surinamese,,,,
,,Vatican City,Swazi,,,,
,,Venezuela,Swedes,,,,
,,Vietnam,Swiss,,,,
,,Yemen,Syriacs,,,,
,,Zambia,Syrians,,,,
,,Zimbabwe,Taiwanese,,,,
,,,Tamils,,,,
,,,Tajik,,,,
,,,Tanzanians,,,,
,,,Thais,,,,
,,,Tibetans,,,,
,,,Tobagonians,,,,
,,,Togolese,,,,
,,,Tongans,,,,
,,,Trinidadians,,,,
,,,Tunisians,,,,
,,,Turks,,,,
,,,Tuvaluans,,,,
,,,Ugandans,,,,
,,,Ukrainians,,,,
,,,Uruguayans,,,,
,,,Uzbeks,,,,
,,,Vanuatuans,,,,
,,,Venezuelans,,,,
,,,Vietnamese,,,,
,,,Vincentians,,,,
,,,Welsh,,,,
,,,Yemenis,,,,
,,,Zambians,,,,
,,,Zimbabweans,,,,
,,,Aromanians,,,,
,,,Assyrians,,,,
,,,Basques,,,,
,,,Bengalis,,,,
,,,Berbers,,,,
,,,Boers,,,,
,,,Buryats,,,,
,,,Cajuns,,,,
,,,Catalans,,,,
,,,Celts,,,,
,,,Chuvash,,,,
,,,Han Chinese,,,,
,,,Hispanic and Latino Americans,,,,
,,,Hutus,,,,
,,,Igbo,,,,
,,,Indigenous Australians,,,,
,,,Indigenous people of the Americas,,,,
,,,First Nations,,,,
,,,Huaorani people,,,,
,,,Inuit,,,,
,,,Canadian Inuit,,,,
,,,Greenlandic Inuit,,,,
,,,Métis people,,,,
,,,Native Americans,,,,
,,,Malayali,,,,
,,,Kannadigas,,,,
,,,Karen,,,,
,,,Kodavas,,,,
,,,Kurds,,,,
,,,Macedonians,,,,
,,,Malays,,,,
,,,Roma,,,,
,,,Samis,,,,
,,,Sikhs,,,,
,,,Silesians,,,,
,,,Sindhis,,,,
,,,Sinhalese,,,,
,,,Syriacs,,,,
,,,Tamils,,,,
,,,Tatars,,,,
,,,Tutsis,,,,
,,,Zulus,,,,
